,negative_reviews
542,Older building with elevator and street noise.  Bathroom updated.  Bedspreads could have been changed out for something from this century.   Bedding light weight in a room with old steam heating system controlled by the front desk.
543,"Bathroom fittings needed an upgrade. Furniture in the room was a little dated, dark wood making the room seem a bit gloomy inside. The room we had, had window looking out into an alleyway so didn’t get much light. We needed the light on even during the day. Although the room was clean, it smelt a tad musty."
544,"Wasn’t clean. Behind reception desk was untidy and dirty. 
Our bedroom was poor - sliding door to bathroom was cranky, bathroom not good, but shower worked, but certainly didn’t look inviting windows very unclean. 
View from window was of all the air vents. 
Breakfast was in the dingy pub, very poor, paper plates etc... and they had a ‘tip’ jar on the table... unbelievable!
The porter seemed to have some mental health problems... quite rude, and they ‘misplaced’ a carrier bag of ours in the luggage room."
545,"No hair dryer or coffee maker in the room. Bathroom was rundown, closet was miniscule."
546,No Airconditioning and incredibly loud rooms
547,"Heater kept turning on, and could only be turned off by the front desk."
548,It was a bit too hot in our room
549,"The breakfast was a sad affair. Sad cereal in a little single use plastic bowl, in a dark little (bar?) room. It wasn't really a place to get breakfast, even if it was already part of the booking."
550,I would have liked to see some sort of protein available for breakfast. Peanut butter or greek yogurt would be easy to add to the otherwise satisfactory continental breakfast.
551,Very small rooms. Front office staff not very friendly.
552,"No air-con and a bit noisy from equipment on the building outside the 6th floor window. We were so tired it didn't matter much.
The hallway stank of disinfectant each afternoon but it faded as the week went on so presumably they had cleaned up an incident shortly before we arrived. No smell in the room. 
No gluten free options at breakfast."
553,the front desk personal was not particularly friendly
554,"The neighborhood had a lot of homeless as did all the areas, even by the named hotels. It was just uncomfortable to see."
555,Breakfast could have been replenished in a more timely fashion.
556,Decor is a bit dated and maybe a better breakfast selection and no tea or coffee in the room
557,Basic continental Breakfast
558,No air conditioning
559,The hotel whilst trying to stay boutique is in need of being freshened up.
560,Parking was very expensive.
561,No parking so you have to find a street parking.
562,Bed uncomfortable.
563,Breakfast was very basic.
564,"The breakfast was free, but it was still a bunch of stale crossaints and pastries."
565,"day receptions was just arrogant and everytime i asked a question gave me a snark reply like i should have known the answer, as a first time visitor the the USA and to your hotel i dont know how i am expected to know the procedures of Valet parking and breakfast facilities."
566,"Small amount of mold on the bathroom shower ceiling (which I noticed while in the shower) really cheep thin toilet paper, otherwise very clean and nice (fresh paint).  Small room, cozy, romantic-- I will stay there again."
567,Lack of air conditioning meant leaving windows closed during a time of poor air quality in SF. Room can get very stuffy.  Continental breakfast is poor quality and not well tended to.
568,staff not very knowledgeable about transportation.. Very Rude
569,"Hotel is a little tired in terms of facilities, but it's not a major hotel chain so too be expected."
570,"The plumbing was loud, when you flushed the toilet it took awhile before the noise ended."
571,No air con. Very small bathroom
572,"The concierge office could do with a lick of paint. It looks shabby and doesn’t make for a good first impression. The restaurant/bar is intended to be styled on an English pub, the problem is the model is one from forty plus years ago. The impression comes out somewhere between a Berni Inn and Yates Wine lodge. Just needs a little rethinking to make it less gloomy."
573,Obviously old. Bathroom faucets could have been replaced.
574,"Reception staff which is rude  ( the old guy), the breakfast is very very weak and they dont recharge which is missing at the breakfast. Room is small and dont have a descent closet to hang things"
575,The windows weren't great - left in plenty of noise from a generator outside.
576,"1.  the shower door leaked water all across the floor2.  No air conditioner, leaving room too hot and muggy."
577,People in the room next to ours were smoking. The smoke was coming into our room thru a wall vent. I had complained to the management. I'm sure the management said something to them but they didn't stop.
578,Lack of electric jug in the room
579,the wifi seemed very slow. my key card had to be replaced...I imagine it's because I kept it near my phone?
580,"Rooms were quite dated, but still clean and comfortable."
581,Old
582,Crowded and unproffesional front desk
583,"I called twice to verify whether or not parking was included. They told me it was included.  When I got there they told me it was not. Staff was pretty rude. There was no AC. Had to open the windows without screens, pretty unnerving do to the fact the windows were 2 ft from the ground. Wouldn't suggest drinking. Could easily fall out."
584,Somewhat noisy. But that is a feature more so of the neighborhood than the hotel.
585,"The hotel is very outdated. Paint and wallpaper was peeling off the walls. Very noisy both inside the hotel through the walls and outside noise. No aircon in the room. The bathroom window did not close so there was cold air coming in when showering or using the bathroom. Very dusty rooms, no coffee or tea facilities in the room."
586,"Strangely configured hotel rooms.  Poor quality furnishings, needs updating.  bathrooms shabby.  Cleaning was poor, dirt on the walks and floors behind the doors.  Too far out of town.  Would not stay here again."
587,The lady behind the bar on Wed night was horrible
588,"Terrible breakfast, looked grubby. One morning all they had was coffee and muffins!!! That is not a continental breakfast. Hotel smelt terrible and is in desperate need of a update. Staff not overly friendly either. I will be advising any friends or family looking to go to San Fran NOT to stay here."
589,"Room window was a sash window and could  open all the way! We were on the 6th floor and as it’s a low window sill, it was an extremely dangerous health and safety issue. There was no aircon in room.  No hair dryer either."
590,"The room did not smell good.  There was a strong smell of cigarette smoke coming from the bathroom vent. Smoking is allowed at the Hotel but clearly the smell carrys through the ventilation system. 
Basic unexciting breakfast in a dark dingy room.
The room has no safety deposit, no hairdryer, no hot water facility. But reception will resolve these if you ask.
Bathroom is dated but adequate. The water temperature hard to control and changes suddenly from cold to scalding. Not a relaxing situation."
591,Unmaintained dirty very small room no air conditioning nothing like on website and I should have read reviews this is well below anywhere I have stayed in the world  man behind desk was rude and was talk of discussion at breakfast needs  to lift game should be rated 1 star at best
592,---
593,Nothing. It was fine.
594,"The toilets were weirdly very loud, after flushing they make a loud whooshing noise for about 4 minutes, annoying but not the worst thing."
595,I did have to ask 3 times for the phone in my room to be fixed. But otherwise all was great.
596,Nothing really
597,Noisy outside.
598,Double beds are too short
599,"Beds were not comfortable, our room had a leaky shower that leaked down a floor with a garbage can catching the drips right next to the apples at the continental breakfast. No AC and it was hot!  No screens on the windows either. It definitely had old world charm but no amenities. Staff were polite."
600,"The room was only big enough for 1 double and 1 twin bed, but we had enough room for 2 people"
601,Booking.com saying that the hotel is pet friendly and it is NOT really. We checked in and paid and upon finalizing our stay the reception informed us that we could not leave our dog unattended in the room. I asked her how we were supposed to go out to eat or to view San Francisco and her response was that we could order door dash! I told her the whole reason we came to San Francisco was to SEE some things in San Francisco and that I wanted a refund so I could find a hotel that was actually pet friendly. She said she could not give us a refund because they had a 24 hour cancellation policy! I was not informed until AFTER I had paid that I wasn’t going to be able to leave the hotel. So I paid almost $200 to sit in a hotel in San Francisco and eat take out.
602,"Breakfast is very unhealthy and poor, could be better. Rude staff, I called the reception desk to solve a problem and she yelled at me at the telephone. Didn't like that at all,"
603,"Terrible service, except one girl that apologized for her colleagues slightly nuts behavior! Ancient salad left in the minibar fridge. Brown water spluttered from the taps. Poor shower. Tiny tiny room. Ridiculously expensive for what it is."
604,"Noisy elevator, old and not so fresh furniture."
605,"Shabby interior, very run down"
606,"Bathroom door broken, literally doesn’t close."
607,"This property is very loud at night. There is no air conditioner, so the windows had to be left open. The room was extremely small for the amount of money paid."
608,"Breakfast was Terrible, we found cockroaches in the room, we couldn't sleep all night because engines were on all night long, they could not provide us a better room because all of them have the same problem. Their windows are not soundproof and not maintained at all."
609,"Noisy and small room, bathroom too dated, “continental breakfast” was an absolute joke: no staff to help, no fresh water to drink, paper plates, lack of variety of food, flies going everywhere, etc."
610,Very noisy room because of generator noise outside of building which we were told would stop at 10.00 pm but went all night. They did change us the next day to another room.
611,The shower was broken and the handles on furniture were missing.. All the furniture needs to be replace. They gave for breakast coffe and bread..
612,A variety of pillows depths would've been appreciated. The pillows were too thick for my liking.
613,Perhaps they can add more variety to the breakfast menu?
